
STATISTICS FOR OG
===================================
cattle_0100: 8 Images
cattle_0200: 10 Images
cattle_0300: 17 Images
cattle_0400: 7 Images
cattle_0500: 14 Images
cattle_0600: 19 Images
cattle_0700: 16 Images
cattle_0800: 18 Images
cattle_0900: 12 Images
cattle_1000: 12 Images
cattle_1100: 11 Images
cattle_1200: 11 Images
cattle_1300: 12 Images
cattle_1400: 13 Images
cattle_1500: 6 Images
cattle_1600: 14 Images
cattle_1700: 12 Images
cattle_1800: 22 Images
cattle_1900: 8 Images
cattle_2000: 14 Images
cattle_2100: 4 Images
cattle_2200: 6 Images
cattle_2220: 6 Images
cattle_2300: 22 Images
cattle_2320: 14 Images
cattle_2400: 23 Images
cattle_2500: 33 Images
cattle_2510: 10 Images
cattle_2600: 27 Images
cattle_2700: 17 Images
cattle_2710: 15 Images
cattle_2740: 8 Images
cattle_2800: 24 Images
cattle_2900: 15 Images
cattle_2930: 6 Images
cattle_3000: 15 Images
cattle_3100: 13 Images
cattle_3200: 16 Images
cattle_3300: 13 Images
cattle_3400: 7 Images
cattle_3420: 4 Images
cattle_3802: 8 Images
cattle_3812: 12 Images
cattle_3814: 13 Images
cattle_3819: 19 Images
cattle_3832: 42 Images
cattle_3842: 14 Images
cattle_3844: 15 Images
cattle_3847: 21 Images
cattle_3852: 29 Images
cattle_3856: 16 Images
cattle_4208: 18 Images
cattle_4259: 6 Images
cattle_4323: 19 Images
cattle_4326: 10 Images
cattle_4330: 28 Images
cattle_4339: 20 Images
cattle_4347: 19 Images
cattle_4363: 21 Images
cattle_4369: 16 Images
cattle_4381: 24 Images
cattle_4385: 23 Images
cattle_4399: 7 Images
cattle_4421: 32 Images
cattle_4422: 22 Images
cattle_4451: 7 Images
cattle_4454: 26 Images
cattle_4456: 29 Images
cattle_4479: 25 Images
cattle_4488: 11 Images
cattle_4499: 29 Images
cattle_4537: 12 Images
cattle_4539: 18 Images
cattle_4545: 29 Images
cattle_4549: 4 Images
cattle_4551: 28 Images
cattle_4568: 23 Images
cattle_4607: 34 Images
cattle_4613: 70 Images
cattle_4614: 25 Images
cattle_4649: 34 Images
cattle_4668: 21 Images
cattle_4678: 19 Images
cattle_4679: 16 Images
cattle_4680: 19 Images
cattle_4685: 11 Images
cattle_4686: 31 Images
cattle_4716: 16 Images
cattle_4717: 5 Images
cattle_4733: 29 Images
cattle_4739: 26 Images
cattle_4748: 15 Images
